AUTO_NUM,CD_CC9,CD_CRP,CD_DMU,CD_ETA,CD_GHU,CD_SHI,CD_TYPE_ACT,CD_UGC,CD_UGL,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF,FL_OF,LB_CC9,LB_CRP,LB_DMU,LB_ETA,LB_GHU,LB_TYPE_ACT,LB_UGC,LB_UGL,SOURCE
16,92302240,H,110,005,NUP,NON,07,9099,0051109099,2010,Qtr 1,mars,1,2018,Qtr 1,mars,31,2010,Qtr 1,mars,1,2025,Qtr 4,octobre,2,N,N,RHUMATOLOGIE,CRPP,AGAP,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONS DE RHUMATOLOGIE,CONS DE RHUMATOLOGIE,ldz_structure
17,92000003,H,111,005,NUP,NON,01,0111,0051110111,2011,Qtr 3,août,25,2016,Qtr 1,mars,10,2011,Qtr 3,août,25,2025,Qtr 4,octobre,2,N,N,ADMINISTRATION DU POLE,CRPP,URO GYNECO OBST,HOPITAL BEAUJON,NORD,ADMINISTRATION,GESTION POLE,GESTION POLE,ldz_structure
18,92319650,H,112,005,NUP,NON,07,1390,0051121390,1996,Qtr 2,juin,1,2018,Qtr 2,avril,1,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,2,N,N,OPHTALMOLOGIE,CRPP,INFECTION IMMUNITE,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONS OPH,CONS OPH,ldz_structure
19,92302180,H,112,005,NUP,NON,07,1713,0051121713,2002,Qtr 1,janvier,1,2018,Qtr 2,avril,1,2002,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,NEUROLOGIE,CRPP,INFECTION IMMUNITE,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONSULT NEUROLOGIE,CONSULT NEUROLOGIE,ldz_structure
20,92396000,H,112,005,NUP,NON,01,5095,0051125095,2006,Qtr 3,septembre,1,2017,Qtr 2,mai,1,2006,Qtr 3,septembre,1,2025,Qtr 4,octobre,2,N,N,RESEAUX,CRPP,INFECTION IMMUNITE,HOPITAL BEAUJON,NORD,ADMINISTRATION,RESEAU SOINS PALLIAT,RESEAU SOINS PALLIAT,ldz_structure
21,92000003,H,113,005,NUP,NON,01,1004,0051131004,2007,Qtr 1,janvier,1,2016,Qtr 1,mars,10,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,ADMINISTRATION DU POLE,CRPP,TETE COU ORTH RACHIS,HOPITAL BEAUJON,NORD,ADMINISTRATION,GESTION POLE 4,GESTION POLE 4,ldz_structure
22,92319640,H,113,005,NUP,NON,80,1491,0051131491,1996,Qtr 2,juin,1,2014,Qtr 1,janvier,15,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,2,N,N,ORL ADULTE,CRPP,TETE COU ORTH RACHIS,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,HC ORL,HC ORL,ldz_structure
23,92234300,H,113,005,NUP,NON,32,2896,0051132896,2011,Qtr 1,mars,1,2015,Qtr 4,décembre,31,2011,Qtr 1,mars,1,2025,Qtr 4,octobre,2,N,N,RADIO INTERVENTIONNELLE EN NEUROLOGIE,CRPP,TETE COU ORTH RACHIS,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,PMT NEURO RADIO,PMT NEURO RADIO,ldz_structure
24,92300010,H,113,005,NUP,NON,07,2897,0051132897,2011,Qtr 1,mars,1,2015,Qtr 4,décembre,31,2011,Qtr 1,mars,1,2025,Qtr 4,octobre,2,N,N,MEDECINE INTERNE,CRPP,TETE COU ORTH RACHIS,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONS NEURO RADIO INT,CONS NEURO RADIO INT,ldz_structure
25,92319400,H,115,005,NUP,NON,80,2898,0051152898,2011,Qtr 1,mars,1,2016,Qtr 1,janvier,1,2011,Qtr 1,mars,1,2025,Qtr 4,octobre,2,N,N,NEURO-CHIRURGIE,CRPP,TCAUR,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,HOSP NEURO RADIO INT,HOSP NEURO RADIO INT,ldz_structure
26,92398150,H,701,005,NUP,NON,33,1015,0057011015,2007,Qtr 1,janvier,1,,,,,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,RECHERCHE,CRPP,PRISME,HOPITAL BEAUJON,NORD,RECHERCHE,RECHERCHE,RECHERCHE,ldz_structure
27,92004000,H,701,005,NUP,NON,01,1752,0057011752,1997,Qtr 3,juillet,1,,,,,1997,Qtr 3,juillet,1,2025,Qtr 4,octobre,13,O,O,TRAITEMENT DE L'INFORMATION MEDICALE,CRPP,PRISME,HOPITAL BEAUJON,NORD,ADMINISTRATION,MSI,MSI,ldz_structure
28,92466000,H,701,005,NUP,NON,01,1755,0057011755,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,SANTE PUBLIQUE,CRPP,PRISME,HOPITAL BEAUJON,NORD,ADMINISTRATION,EPID ET RECH CLINIQ,EPID ET RECH CLINIQ,ldz_structure
32,92400040,H,701,005,NUP,NON,09,3389,0057013389,2015,Qtr 1,mars,19,,,,,2015,Qtr 1,mars,19,2025,Qtr 4,octobre,13,N,O,UNITE DE PREPA. MAGISTRAL OU HOSP STERIL,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,PREPARATIONS STERILT,PREPARATIONS STERILT,ldz_structure
33,92400040,H,701,005,NUP,NON,09,3390,0057013390,2012,Qtr 1,mars,1,,,,,2012,Qtr 1,mars,1,2025,Qtr 4,octobre,13,N,O,UNITE DE PREPA. MAGISTRAL OU HOSP STERIL,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,PREPA CHIMIOTHERAPIE,PREPA CHIMIOTHERAPIE,ldz_structure
34,92302300,H,701,005,NUP,NON,07,3391,0057013391,2022,Qtr 1,février,14,,,,,2022,Qtr 1,février,14,2025,Qtr 4,octobre,13,N,O,MEDECINE PLURI-DISCIPLINAIRE,CRPP,PRISME,HOPITAL BEAUJON,NORD,CONSULTATIONS,PHARMACIE ETP STP,PHARMACIE ETP STP,ldz_structure
35,92410000,H,701,005,NUP,NON,09,3392,0057013392,1999,Qtr 1,janvier,1,,,,,1999,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,STERILISATION,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,STERILISATION,STERILISATION,ldz_structure
36,92400000,H,701,005,NUP,NON,09,3393,0057013393,1999,Qtr 1,janvier,1,,,,,1999,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,PHARMACIE,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,MEDICAMENTS,MEDICAMENTS,ldz_structure
37,92400000,H,701,005,NUP,NON,09,3394,0057013394,1999,Qtr 1,janvier,1,,,,,1999,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,PHARMACIE,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,MAGASIN MEDICAMENTS,MAGASIN MEDICAMENTS,ldz_structure
38,92400200,H,701,005,NUP,NON,09,3395,0057013395,2000,Qtr 1,janvier,1,,,,,2000,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,RETROCESSION,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,RETROCESSIONS,RETROCESSIONS,ldz_structure
39,92400030,H,701,005,NUP,NON,09,3396,0057013396,2002,Qtr 3,juillet,1,,,,,2002,Qtr 3,juillet,1,2025,Qtr 4,octobre,13,O,O,GESTION DU MAGASIN MEDICAL,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,DM MAGASIN,DM MAGASIN,ldz_structure
40,92400050,H,701,005,NUP,NON,09,3397,0057013397,2007,Qtr 1,janvier,1,,,,,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,RADIOPHARMACIE,CRPP,PRISME,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,RADIOPHARMACIE,RADIOPHARMACIE,ldz_structure
41,92000003,H,702,005,NUP,NON,01,1005,0057021005,2007,Qtr 1,janvier,1,,,,,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,ADMINISTRATION DU POLE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ADMINISTRATION,DMU BIOGEM,DMU BIOGEM,ldz_structure
42,92450000,H,702,005,NUP,NON,01,1552,0057021552,2002,Qtr 1,janvier,1,,,,,2002,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,EQUIPE OPERATIONNELLE D'HYGIENE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ADMINISTRATION,HYGIENE&INF.NOSOCOM.,HYGIENE&INF.NOSOCOM.,ldz_structure
43,92212200,H,702,005,NUP,NON,26,1891,0057021891,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,BIOCHIMIE GENERALE ET SPECIALISEE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,BIOCHIMIE,BIOCHIMIE,ldz_structure
44,92210004,H,702,005,NUP,NON,26,2011,0057022011,2002,Qtr 1,janvier,1,,,,,2002,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,GARDE COMMUNE DE BIO,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,LABO GARDE MULTI,LABO GARDE MULTI,ldz_structure
45,92302110,H,702,005,NUP,NON,07,2221,0057022221,2012,Qtr 1,mars,1,,,,,2012,Qtr 1,mars,1,2025,Qtr 4,octobre,13,N,O,HEMATOLOGIE CLINIQUE ADULTE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONS LABO HEMATO,CONS LABO HEMATO,ldz_structure
46,92302110,H,702,005,NUP,NON,04,2224,0057022224,2024,Qtr 2,juin,25,,,,,2024,Qtr 2,juin,25,2025,Qtr 4,octobre,13,N,O,HEMATOLOGIE CLINIQUE ADULTE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,HOSPITALISATION JOUR,HDJ CLI ANTICOAGUL,HDJ CLI ANTICOAGUL,ldz_structure
