Somme de AUTO_NUM,CD_CC9,CD_CRP,CD_DMU,CD_ETA,CD_GHU,CD_GHU,CD_ETA,CD_UGL,CD_SHI,CD_TYPE_ACT,CD_UGC,CD_UGL,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF,FL_OF,LB_CC9,LB_CRP,LB_DMU,LB_ETA,LB_GHU,GHU,LB_ETA,LB_UGL,LB_TYPE_ACT,LB_UGC,LB_UGL,SOURCE
12644,92000000,H,001,401,SC1,SC1,401,4010010074,NON,01,0074,4010010074,2009,Qtr 1,janvier,1,2011,Qtr 4,décembre,31,2009,Qtr 1,janvier,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,D.A.C.,ADMINISTRATION,D.A.C.,D.A.C.,ldz_structure
12645,92000000,H,001,401,SC1,SC1,401,4010010079,NON,01,0079,4010010079,2009,Qtr 1,janvier,1,2011,Qtr 4,décembre,31,2009,Qtr 1,janvier,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,MISSIONS,ADMINISTRATION,MISSIONS,MISSIONS,ldz_structure
12646,92000000,H,001,401,SC1,SC1,401,4010010081,NON,01,0081,4010010081,2009,Qtr 1,janvier,1,2011,Qtr 4,décembre,31,2009,Qtr 1,janvier,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,MISSIONS SUBVENTION,ADMINISTRATION,MISSIONS SUBVENTION,MISSIONS SUBVENTION,ldz_structure
12648,92000000,H,001,401,SC1,SC1,401,4010010140,NON,01,0140,4010010140,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,PRES CONSEIL SURVEIL,ADMINISTRATION,PRES CONSEIL SURVEIL,PRES CONSEIL SURVEIL,ldz_structure
12650,92000000,H,001,401,SC1,SC1,401,4010011001,NON,01,1001,4010011001,2013,Qtr 1,mars,11,,,,,2013,Qtr 1,mars,11,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,PRESIDENCE CME,ADMINISTRATION,PRESIDENCE CME,PRESIDENCE CME,ldz_structure
12652,92000000,H,001,401,SC1,SC1,401,4010011011,NON,01,1011,4010011011,2022,Qtr 1,mars,11,,,,,2022,Qtr 1,mars,11,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,CME CHU,ADMINISTRATION,CME CHU,CME CHU,ldz_structure
16927,92000000,H,001,401,SC1,SC1,401,4010013001,NON,01,3001,4010013001,2022,Qtr 1,janvier,1,2022,Qtr 4,décembre,31,2022,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,PROJET HOTEL DIEU,ADMINISTRATION,PROJET HOTEL DIEU,PROJET HOTEL DIEU,fact_effectifs
12653,92000000,H,001,401,SC1,SC1,401,4010013003,NON,01,3003,4010013003,2009,Qtr 2,avril,21,2010,Qtr 1,janvier,31,2009,Qtr 2,avril,21,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,C.PILOTAGE STRAT SI,ADMINISTRATION,C.PILOTAGE STRAT SI,C.PILOTAGE STRAT SI,ldz_structure
16928,92000000,H,002,401,SC1,SC1,401,4010020003,NON,01,0003,4010020003,2019,Qtr 1,janvier,1,2022,Qtr 4,décembre,31,2019,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SECRETARIAT GENERAL,ADMINISTRATION,SECRETARIAT GENERAL,SECRETARIAT GENERAL,fact_effectifs
12654,92000000,H,002,401,SC1,SC1,401,4010020137,NON,01,0137,4010020137,2009,Qtr 1,janvier,1,2011,Qtr 4,décembre,31,2009,Qtr 1,janvier,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,PSCA COM INSTITUTION,ADMINISTRATION,PSCA COM INSTITUTION,PSCA COM INSTITUTION,ldz_structure
16929,92000000,H,002,401,SC1,SC1,401,4010020140,NON,01,0140,4010020140,2019,Qtr 1,janvier,1,2019,Qtr 4,décembre,31,2019,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SEC CONSEIL SURVEIL,ADMINISTRATION,SEC CONSEIL SURVEIL,SEC CONSEIL SURVEIL,fact_effectifs
12657,92000000,H,002,401,SC1,SC1,401,4010021002,NON,01,1002,4010021002,2013,Qtr 1,mars,11,,,,,2013,Qtr 1,mars,11,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DIRECTION,ADMINISTRATION,DIRECTION,DIRECTION,ldz_structure
12658,92000000,H,002,401,SC1,SC1,401,4010027040,NON,01,7040,4010027040,2017,Qtr 2,juin,20,,,,,2017,Qtr 2,juin,20,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,CELLULE RH DRCI,ADMINISTRATION,CELLULE RH DRCI,CELLULE RH DRCI,ldz_structure
12659,92000000,H,002,401,SC1,SC1,401,4010027041,NON,01,7041,4010027041,2017,Qtr 2,juin,20,,,,,2017,Qtr 2,juin,20,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,PILOT CONT GEST RH,ADMINISTRATION,PILOT CONT GEST RH,PILOT CONT GEST RH,ldz_structure
12660,92000000,H,002,401,SC1,SC1,401,4010027042,NON,01,7042,4010027042,2017,Qtr 2,juin,20,,,,,2017,Qtr 2,juin,20,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,POLE GESTION,ADMINISTRATION,POLE GESTION,POLE GESTION,ldz_structure
12661,92000000,H,002,401,SC1,SC1,401,4010027043,NON,01,7043,4010027043,2017,Qtr 2,juin,20,,,,,2017,Qtr 2,juin,20,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,POLE RECRUTEMENT,ADMINISTRATION,POLE RECRUTEMENT,POLE RECRUTEMENT,ldz_structure
12662,92000000,H,002,401,SC1,SC1,401,4010027044,NON,01,7044,4010027044,2017,Qtr 2,juin,20,,,,,2017,Qtr 2,juin,20,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DRS,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SANTE SOCIAL RISQUE,ADMINISTRATION,SANTE SOCIAL RISQUE,SANTE SOCIAL RISQUE,ldz_structure
12680,92000000,H,003,401,SC1,SC1,401,4010030701,NON,01,0701,4010030701,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,CONTROLE FINANCIER,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,CONTROLE FINANCIER,ADMINISTRATION,CONTROLE FINANCIER,CONTROLE FINANCIER,ldz_structure
12682,92000000,H,005,401,SC1,SC1,401,4010050010,NON,01,0010,4010050010,1996,Qtr 2,juin,1,2011,Qtr 3,septembre,1,1996,Qtr 2,juin,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DST,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DIRECTION DDRH,ADMINISTRATION,DIRECTION DDRH,DIRECTION DDRH,ldz_structure
12693,92000000,H,006,401,SC1,SC1,401,4010060050,NON,01,0050,4010060050,1996,Qtr 2,juin,1,2020,Qtr 4,décembre,31,1996,Qtr 2,juin,1,2025,Qtr 1,janvier,29,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DIRECT PILOTAGE,ADMINISTRATION,DIRECT PILOTAGE,DIRECT PILOTAGE,ldz_structure
12704,92000000,H,006,401,SC1,SC1,401,4010060067,NON,01,0067,4010060067,1996,Qtr 3,septembre,1,2013,Qtr 2,avril,1,1996,Qtr 3,septembre,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DQP DEPARTEMENT,ADMINISTRATION,DQP DEPARTEMENT,DQP DEPARTEMENT,ldz_structure
12722,92000000,H,006,401,SC1,SC1,401,4010060530,NON,01,0530,4010060530,2005,Qtr 1,janvier,1,2013,Qtr 2,avril,1,2005,Qtr 1,janvier,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,PROJETS,ADMINISTRATION,PROJETS,PROJETS,ldz_structure
12723,92000000,H,006,401,SC1,SC1,401,4010060540,NON,01,0540,4010060540,2005,Qtr 1,janvier,1,2013,Qtr 2,avril,1,2005,Qtr 1,janvier,1,2025,Qtr 1,janvier,29,N,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DRH & AF DPT,ADMINISTRATION,DRH & AF DPT,DRH & AF DPT,ldz_structure
12724,92000000,H,006,401,SC1,SC1,401,4010067005,NON,01,7005,4010067005,2011,Qtr 3,septembre,16,2020,Qtr 4,décembre,31,2011,Qtr 3,septembre,16,2025,Qtr 1,janvier,29,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SECURITE GENERALE,ADMINISTRATION,SECURITE GENERALE,SECURITE GENERALE,ldz_structure
12725,92000000,H,006,401,SC1,SC1,401,4010067006,NON,01,7006,4010067006,2015,Qtr 4,décembre,8,2020,Qtr 4,décembre,31,2015,Qtr 4,décembre,8,2025,Qtr 1,janvier,29,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES ECONOMIQUES,ADMINISTRATION,SERVICES ECONOMIQUES,SERVICES ECONOMIQUES,ldz_structure
12737,92000000,H,007,401,SC1,SC1,401,4010070009,NON,01,0009,4010070009,2004,Qtr 2,juin,1,,,,,2004,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIR COMMUNICATION,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DIR COMMUNICATION,ADMINISTRATION,DIR COMMUNICATION,DIR COMMUNICATION,ldz_structure
12738,92000000,H,007,401,SC1,SC1,401,4010070012,NON,01,0012,4010070012,2020,Qtr 2,avril,3,,,,,2020,Qtr 2,avril,3,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIR COMMUNICATION,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,MECENAT PHILANTROPIE,ADMINISTRATION,MECENAT PHILANTROPIE,MECENAT PHILANTROPIE,ldz_structure
12746,92000000,H,008,401,SC1,SC1,401,4010080110,NON,01,0110,4010080110,1996,Qtr 2,juin,1,2020,Qtr 4,décembre,31,1996,Qtr 2,juin,1,2025,Qtr 1,janvier,29,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DSAP,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DSAP,ADMINISTRATION,DSAP,DSAP,ldz_structure
12797,92000000,H,009,401,SC1,SC1,401,4010097013,NON,01,7013,4010097013,2019,Qtr 2,juin,28,,,,,2019,Qtr 2,juin,28,2025,Qtr 4,octobre,13,N,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,SUPPORT LOCAL SIEGE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SEQOIA,ADMINISTRATION,SEQOIA,SEQOIA,ldz_structure
12827,92000000,H,010,401,SC1,SC1,401,4010100170,NON,01,0170,4010100170,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DAJDP,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DAJ DIRECTION,ADMINISTRATION,DAJ DIRECTION,DAJ DIRECTION,ldz_structure
12828,92000000,H,010,401,SC1,SC1,401,4010100175,NON,01,0175,4010100175,2001,Qtr 1,janvier,1,,,,,2001,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DAJDP,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,CDE PUBLIQ PAT PUBLI,ADMINISTRATION,CDE PUBLIQ PAT PUBLI,CDE PUBLIQ PAT PUBLI,ldz_structure
