CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
NR005,AP,5,APA,N,2024,Qtr 4,novembre,6,Régulateur examens bio sous traités,Autres Emplois / Métiers dans HRA,Non répertoriés,1
NR006,AP,5,APA,N,2024,Qtr 4,novembre,6,Formateur en travail social,Autres Emplois / Métiers dans HRA,Non répertoriés,4
NR007,AP,5,APA,N,2024,Qtr 4,novembre,6,Interprète,Autres Emplois / Métiers dans HRA,Non répertoriés,9
NR008,AP,5,APA,N,2024,Qtr 4,novembre,6,Architecte,Autres Emplois / Métiers dans HRA,Non répertoriés,7
NR009,AP,5,APA,N,2024,Qtr 4,novembre,6,Géomètre,Autres Emplois / Métiers dans HRA,Non répertoriés,2
NR010,AP,5,APA,N,2024,Qtr 4,novembre,6,Directeur de mécénat,Autres Emplois / Métiers dans HRA,Non répertoriés,11
NR011,AP,5,APA,N,2024,Qtr 4,novembre,6,Conservateur du patrimoine,Autres Emplois / Métiers dans HRA,Non répertoriés,4
NR012,AP,5,APA,N,2024,Qtr 4,novembre,6,Responsable valorisation patrimoine,Autres Emplois / Métiers dans HRA,Non répertoriés,5
NR013,AP,5,APA,N,2024,Qtr 4,novembre,6,Conseiller sécurité,Autres Emplois / Métiers dans HRA,Non répertoriés,3
ZZZZZZ,ZZ,6,ZZZ,N,2024,Qtr 4,novembre,6,MANQUANT,MANQUANT,MANQUANT,26
