CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
20M100,20,6,20M,N,2024,Qtr 4,novembre,6,Conseiller en ingénierie biomédical,Ingénierie et maintenance techniques,Ingénierie et maintenance biomédicale,49
20M200,20,6,20M,N,2024,Qtr 4,novembre,6,Encadrant maintenance biomédicale,Ingénierie et maintenance techniques,Ingénierie et maintenance biomédicale,22
20M300,20,6,20M,N,2024,Qtr 4,novembre,6,Technicien biomédical,Ingénierie et maintenance techniques,Ingénierie et maintenance biomédicale,247
20MAA0,20,6,20M,N,2024,Qtr 4,novembre,6,Métrologue,Ingénierie et maintenance techniques,Ingénierie et maintenance biomédicale,7
20R200,20,6,20R,N,2024,Qtr 4,novembre,6,Encadrant maint équipt sanit therm,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,104
20R201,20,6,20R,N,2024,Qtr 4,novembre,6,Administrateur GTC thermique,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,4
20R300,20,6,20R,N,2024,Qtr 4,novembre,6,Monteur instal maint sanit therm,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,46
20R301,20,6,20R,N,2024,Qtr 4,novembre,6,Thermicien / chauffagiste,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,44
20R302,20,6,20R,N,2024,Qtr 4,novembre,6,Frigoriste,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,63
20R303,20,6,20R,N,2024,Qtr 4,novembre,6,Plombier,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,241
